"Id","SourceLinkResult","CompilerFlagsResult","SourceUrlRepoInfo","LowerId","Created","TotalDownloads","LowerId1","Owners","LowerId2","Identity","Id1","Version","CatalogCommitTimestamp","ResultType","DeterministicResult","IsSignedByAuthor","LowerId3","Identity1","Id2","Version1","CatalogCommitTimestamp1","Created1","ResultType1","Path","Extension","HasCompilerFlags","HasSourceLink","HasDebugInfo","CompilerFlags","PdbType"
"Newtonsoft.Json","ValidExternal","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""JamesNK"",""Repo"":""Newtonsoft.Json"",""Ref"":""0a2e291c0d9c0c7675d445703e51750363a549ef""},""FileCount"":233,""Example"":""https://raw.githubusercontent.com/JamesNK/Newtonsoft.Json/0a2e291c0d9c0c7675d445703e51750363a549ef/Src/Newtonsoft.Json/Bson/BsonBinaryType.cs""}]","newtonsoft.json","2023-03-08T07:42:54.647Z","2956529404","newtonsoft.json","[""dotnetfoundation"",""jamesnk"",""newtonsoft""]","newtonsoft.json","newtonsoft.json/13.0.3","Newtonsoft.Json","13.0.3","2023-03-08T07:46:17.2134686Z","Available","Valid","true","newtonsoft.json","newtonsoft.json/13.0.3","Newtonsoft.Json","13.0.3","2023-03-08T07:46:17.2134686Z","2023-03-08T07:42:54.647Z","Available","lib\netstandard1.3\Newtonsoft.Json.dll",".dll","true","true","true","{""version"":""2"",""compiler-version"":""4.5.0-6.23109.5+6a5a63bbc9f4449d9bd1e95a8f9624939c3ccdc3"",""language"":""C#"",""source-file-count"":""235"",""output-kind"":""DynamicallyLinkedLibrary"",""optimization"":""release"",""platform"":""AnyCpu"",""runtime-version"":""4.8.9139.0"",""language-version"":""9.0"",""define"":""NETSTANDARD1_3,PORTABLE,HAVE_ASYNC,HAVE_BIG_INTEGER,HAVE_BINARY_SERIALIZATION,HAVE_COVARIANT_GENERICS,HAVE_DATA_CONTRACTS,HAVE_DATE_TIME_OFFSET,HAVE_DYNAMIC,HAVE_EXPRESSIONS,HAVE_FSHARP_TYPES,HAVE_GUID_TRY_PARSE,HAVE_HASH_SET,HAVE_IGNORE_DATA_MEMBER_ATTRIBUTE,HAVE_INOTIFY_COLLECTION_CHANGED,HAVE_INOTIFY_PROPERTY_CHANGING,HAVE_ISET,HAVE_LINQ,HAVE_METHOD_IMPL_ATTRIBUTE,HAVE_NON_SERIALIZED_ATTRIBUTE,HAVE_READ_ONLY_COLLECTIONS,HAVE_REFLECTION_BINDER,HAVE_SERIALIZATION_BINDER_BIND_TO_NAME,HAVE_STRING_JOIN_WITH_ENUMERABLE,HAVE_TIME_SPAN_PARSE_WITH_CULTURE,HAVE_TIME_SPAN_TO_STRING_WITH_CULTURE,HAVE_TIME_ZONE_INFO,HAVE_TYPE_DESCRIPTOR,HAVE_UNICODE_SURROGATE_DETECTION,HAVE_VARIANT_TYPE_PARAMETERS,HAVE_VERSION_TRY_PARSE,HAVE_XLINQ,HAVE_OBSOLETE_FORMATTER_ASSEMBLY_STYLE,HAVE_XML_DOCUMENT,HAVE_CONCURRENT_DICTIONARY,HAVE_ICONVERTIBLE,HAVE_REGEX_TIMEOUTS,HAVE_REGEX_TIMEOUTS,SIGNED,RELEASE,NETSTANDARD,NETSTANDARD1_3,NETSTANDARD1_0_OR_GREATER,NETSTANDARD1_1_OR_GREATER,NETSTANDARD1_2_OR_GREATER,NETSTANDARD1_3_OR_GREATER"",""nullable"":""Enable""}","Portable"
"Serilog","ValidExternal","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""serilog"",""Repo"":""serilog"",""Ref"":""19d8b1a0b947d70adc7539dbb88772e1410bbab6""},""FileCount"":102,""Example"":""https://raw.githubusercontent.com/serilog/serilog/19d8b1a0b947d70adc7539dbb88772e1410bbab6/src/Serilog/Capturing/DepthLimiter.cs""}]","serilog","2023-03-13T06:47:05.97Z","701720233","serilog","[""serilog""]","serilog","serilog/3.0.0-dev-01926","Serilog","3.0.0-dev-01926","2023-03-13T06:49:24.4148051Z","Available","Valid","false","serilog","serilog/3.0.0-dev-01926","Serilog","3.0.0-dev-01926","2023-03-13T06:49:24.4148051Z","2023-03-13T06:47:05.97Z","Available","lib\net471\Serilog.dll",".dll","true","true","true","{""compiler-version"":""4.5.0-3.23070.7+5964d1a8e82d7a6e27b3b31bc1d6e44d0a2127b4"",""language"":""C#"",""optimization"":""release"",""runtime-version"":""7.0.3+0a2bda10e81d901396c3cff95533529e3a93ad47"",""language-version"":""11.0"",""define"":""TRACE,FEATURE_ITUPLE,RELEASE,NETFRAMEWORK,NET471,NET20_OR_GREATER,NET30_OR_GREATER,NET35_OR_GREATER,NET40_OR_GREATER,NET45_OR_GREATER,NET451_OR_GREATER,NET452_OR_GREATER,NET46_OR_GREATER,NET461_OR_GREATER,NET462_OR_GREATER,NET47_OR_GREATER,NET471_OR_GREATER"",""version"":""2"",""source-file-count"":""146"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu"",""nullable"":""Enable""}","Portable"
"Castle.Core","NoSymbols","Missing","[]","castle.core","2022-12-30T09:22:02.32Z","539588411","castle.core","[""castleproject"",""jonorossi""]","castle.core","castle.core/5.1.1","Castle.Core","5.1.1","2022-12-30T09:24:25.0937853Z","Available","NonDeterministic","false","castle.core","castle.core/5.1.1","Castle.Core","5.1.1","2022-12-30T09:24:25.0937853Z","2022-12-30T09:22:02.32Z","Available","lib\netstandard2.0\Castle.Core.dll",".dll","false","false","false","{}","Portable"
"AWSSDK.Core","NoSourceLink","Missing","[]","awssdk.core","2023-03-17T20:43:50.53Z","432678204","awssdk.core","[""awsdotnet""]","awssdk.core","awssdk.core/3.7.106.1","AWSSDK.Core","3.7.106.1","2023-03-17T20:45:58.234059Z","Available","NonDeterministic","false","awssdk.core","awssdk.core/3.7.106.1","AWSSDK.Core","3.7.106.1","2023-03-17T20:45:58.234059Z","2023-03-17T20:43:50.53Z","Available","lib\net45\AWSSDK.Core.dll",".dll","false","false","true","{}","Portable"
"Newtonsoft.Json.Bson","Valid","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""JamesNK"",""Repo"":""Newtonsoft.Json.Bson"",""Ref"":""9709940da46319b7790d31a224c60f6de2beb965""},""FileCount"":27,""Example"":""https://raw.githubusercontent.com/JamesNK/Newtonsoft.Json.Bson/9709940da46319b7790d31a224c60f6de2beb965/Src/Newtonsoft.Json.Bson/AsyncBinaryReader.cs""}]","newtonsoft.json.bson","2022-06-29T12:35:24.91Z","418255826","newtonsoft.json.bson","[""dotnetfoundation"",""jamesnk"",""newtonsoft""]","newtonsoft.json.bson","newtonsoft.json.bson/1.0.3-beta1","Newtonsoft.Json.Bson","1.0.3-beta1","2022-06-29T12:37:43.2926501Z","Available","Valid","true","newtonsoft.json.bson","newtonsoft.json.bson/1.0.3-beta1","Newtonsoft.Json.Bson","1.0.3-beta1","2022-06-29T12:37:43.2926501Z","2022-06-29T12:35:24.91Z","Available","lib\netstandard2.0\Newtonsoft.Json.Bson.dll",".dll","true","true","true","{""compiler-version"":""4.2.0-4.22281.5+8d3180e5f00d42f0f0295165f756f368f0cbfa44"",""language"":""C#"",""optimization"":""release"",""runtime-version"":""4.8.4515.0"",""language-version"":""7.3"",""define"":""NETSTANDARD2_0,PORTABLE,HAVE_ASYNC,HAVE_BIG_INTEGER,HAVE_CHAR_TO_STRING_WITH_CULTURE,HAVE_DATE_TIME_OFFSET,HAVE_STREAM_READER_WRITER_CLOSE,HAVE_TIME_ZONE_INFO,SIGNED,RELEASE,NETSTANDARD,NETSTANDARD2_0,NETSTANDARD1_0_OR_GREATER,NETSTANDARD1_1_OR_GREATER,NETSTANDARD1_2_OR_GREATER,NETSTANDARD1_3_OR_GREATER,NETSTANDARD1_4_OR_GREATER,NETSTANDARD1_5_OR_GREATER,NETSTANDARD1_6_OR_GREATER,NETSTANDARD2_0_OR_GREATER"",""version"":""2"",""source-file-count"":""29"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu""}","Portable"
"Moq","HasUntrackedSources","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""moq"",""Repo"":""moq4"",""Ref"":""042a2ebbeca20b6b718efb45af29a0dc2edb4ab6""},""FileCount"":158,""Example"":""https://raw.githubusercontent.com/moq/moq4/042a2ebbeca20b6b718efb45af29a0dc2edb4ab6/src/Moq/ActionObserver.cs""}]","moq","2022-12-30T11:22:01.4Z","409121790","moq","[""clarius"",""kzu""]","moq","moq/4.18.4","Moq","4.18.4","2022-12-30T11:24:03.6305677Z","Available","NonDeterministic","false","moq","moq/4.18.4","Moq","4.18.4","2022-12-30T11:24:03.6305677Z","2022-12-30T11:22:01.4Z","Available","lib\netstandard2.1\Moq.dll",".dll","true","true","true","{""compiler-version"":""4.4.0-3.22518.13+7856a68c109b22de70e07580018fec601e944f46"",""language"":""C#"",""optimization"":""release-debug-plus"",""runtime-version"":""4.8.4110.0"",""language-version"":""9.0"",""define"":""TYPENAMEFORMATTER_INTERNAL,TRACE,FEATURE_DEFAULT_INTERFACE_IMPLEMENTATIONS,RELEASE,NETSTANDARD,NETSTANDARD2_1,NETSTANDARD1_0_OR_GREATER,NETSTANDARD1_1_OR_GREATER,NETSTANDARD1_2_OR_GREATER,NETSTANDARD1_3_OR_GREATER,NETSTANDARD1_4_OR_GREATER,NETSTANDARD1_5_OR_GREATER,NETSTANDARD1_6_OR_GREATER,NETSTANDARD2_0_OR_GREATER,NETSTANDARD2_1_OR_GREATER"",""version"":""2"",""source-file-count"":""158"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu""}","Embedded"
"AutoMapper","ValidExternal","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""AutoMapper"",""Repo"":""AutoMapper"",""Ref"":""8d027f698af8710649ade16ef8a3487327602b49""},""FileCount"":77,""Example"":""https://raw.githubusercontent.com/AutoMapper/AutoMapper/8d027f698af8710649ade16ef8a3487327602b49/src/AutoMapper/AssemblyInfo.cs""}]","automapper","2023-01-16T15:44:23.04Z","388662204","automapper","[""jbogard""]","automapper","automapper/12.0.1","AutoMapper","12.0.1","2023-01-16T15:46:52.8017672Z","Available","Valid","false","automapper","automapper/12.0.1","AutoMapper","12.0.1","2023-01-16T15:46:52.8017672Z","2023-01-16T15:44:23.04Z","Available","lib\netstandard2.1\AutoMapper.dll",".dll","true","true","true","{""compiler-version"":""4.4.0-6.22565.8+53091686b435746d62a5df56abfab0e71203d83a"",""language"":""C#"",""optimization"":""release"",""runtime-version"":""7.0.1+97203d38ba734d76d39984c5206f2747f792fa89"",""language-version"":""11.0"",""define"":""TRACE,RELEASE,NETSTANDARD,NETSTANDARD2_1,NETSTANDARD1_0_OR_GREATER,NETSTANDARD1_1_OR_GREATER,NETSTANDARD1_2_OR_GREATER,NETSTANDARD1_3_OR_GREATER,NETSTANDARD1_4_OR_GREATER,NETSTANDARD1_5_OR_GREATER,NETSTANDARD1_6_OR_GREATER,NETSTANDARD2_0_OR_GREATER,NETSTANDARD2_1_OR_GREATER"",""version"":""2"",""source-file-count"":""80"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu""}","Portable"
"Swashbuckle.AspNetCore.Swagger","Valid","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""domaindrivendev"",""Repo"":""Swashbuckle.AspNetCore"",""Ref"":""8f363f7359cb1cb8fa5de5195ec6d97aefaa16b3""},""FileCount"":6,""Example"":""https://raw.githubusercontent.com/domaindrivendev/Swashbuckle.AspNetCore/8f363f7359cb1cb8fa5de5195ec6d97aefaa16b3/src/Swashbuckle.AspNetCore.Swagger/DependencyInjection/SwaggerBuilderExtensions.cs""}]","swashbuckle.aspnetcore.swagger","2023-01-11T06:50:40.177Z","374005294","swashbuckle.aspnetcore.swagger","[""domaindrivendev""]","swashbuckle.aspnetcore.swagger","swashbuckle.aspnetcore.swagger/6.5.0","Swashbuckle.AspNetCore.Swagger","6.5.0","2023-01-11T06:53:04.9921796Z","Available","NonDeterministic","false","swashbuckle.aspnetcore.swagger","swashbuckle.aspnetcore.swagger/6.5.0","Swashbuckle.AspNetCore.Swagger","6.5.0","2023-01-11T06:53:04.9921796Z","2023-01-11T06:50:40.177Z","Available","lib\net5.0\Swashbuckle.AspNetCore.Swagger.dll",".dll","true","true","true","{""compiler-version"":""4.4.0-4.22520.11+9e075f038a19d493244bc18997fc52a6c6eefa72"",""language"":""C#"",""optimization"":""release"",""runtime-version"":""7.0.0+d099f075e45d2aa6007a22b71b45a08758559f80"",""language-version"":""9.0"",""define"":""TRACE,RELEASE,NET,NET5_0,NETCOREAPP,NET5_0_OR_GREATER,NETCOREAPP1_0_OR_GREATER,NETCOREAPP1_1_OR_GREATER,NETCOREAPP2_0_OR_GREATER,NETCOREAPP2_1_OR_GREATER,NETCOREAPP2_2_OR_GREATER,NETCOREAPP3_0_OR_GREATER,NETCOREAPP3_1_OR_GREATER"",""version"":""2"",""source-file-count"":""8"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu""}","Portable"
"Swashbuckle.AspNetCore.SwaggerGen","Valid","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""domaindrivendev"",""Repo"":""Swashbuckle.AspNetCore"",""Ref"":""8f363f7359cb1cb8fa5de5195ec6d97aefaa16b3""},""FileCount"":41,""Example"":""https://raw.githubusercontent.com/domaindrivendev/Swashbuckle.AspNetCore/8f363f7359cb1cb8fa5de5195ec6d97aefaa16b3/src/Swashbuckle.AspNetCore.SwaggerGen/DependencyInjection/ConfigureSchemaGeneratorOptions.cs""}]","swashbuckle.aspnetcore.swaggergen","2023-01-11T06:50:40.567Z","372321583","swashbuckle.aspnetcore.swaggergen","[""domaindrivendev""]","swashbuckle.aspnetcore.swaggergen","swashbuckle.aspnetcore.swaggergen/6.5.0","Swashbuckle.AspNetCore.SwaggerGen","6.5.0","2023-01-11T06:53:04.9921796Z","Available","NonDeterministic","false","swashbuckle.aspnetcore.swaggergen","swashbuckle.aspnetcore.swaggergen/6.5.0","Swashbuckle.AspNetCore.SwaggerGen","6.5.0","2023-01-11T06:53:04.9921796Z","2023-01-11T06:50:40.567Z","Available","lib\netcoreapp3.0\Swashbuckle.AspNetCore.SwaggerGen.dll",".dll","true","true","true","{""version"":""2"",""compiler-version"":""4.4.0-4.22520.11+9e075f038a19d493244bc18997fc52a6c6eefa72"",""language"":""C#"",""source-file-count"":""43"",""output-kind"":""DynamicallyLinkedLibrary"",""optimization"":""release"",""platform"":""AnyCpu"",""runtime-version"":""7.0.0+d099f075e45d2aa6007a22b71b45a08758559f80"",""language-version"":""9.0"",""define"":""TRACE,RELEASE,NETCOREAPP,NETCOREAPP3_0,NETCOREAPP1_0_OR_GREATER,NETCOREAPP1_1_OR_GREATER,NETCOREAPP2_0_OR_GREATER,NETCOREAPP2_1_OR_GREATER,NETCOREAPP2_2_OR_GREATER,NETCOREAPP3_0_OR_GREATER""}","Portable"
"xunit.extensibility.core","Valid","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""xunit"",""Repo"":""xunit"",""Ref"":""f110e5bee5dfd4c08339587c9c3df9292fcb597c""},""FileCount"":52,""Example"":""https://raw.githubusercontent.com/xunit/xunit/f110e5bee5dfd4c08339587c9c3df9292fcb597c/src/common/GlobalAssemblyInfo.cs""},{""Repo"":{""Type"":""GitHub"",""Owner"":""xunit"",""Repo"":""assert.xunit"",""Ref"":""5c8c10e085eb42f39f2fe0b40c94bf56649eb0a4""},""FileCount"":3,""Example"":""https://raw.githubusercontent.com/xunit/assert.xunit/5c8c10e085eb42f39f2fe0b40c94bf56649eb0a4/Sdk/ArgumentFormatter.cs""}]","xunit.extensibility.core","2022-08-01T21:42:38.65Z","345482121","xunit.extensibility.core","[""dotnetfoundation"",""xunit""]","xunit.extensibility.core","xunit.extensibility.core/2.4.2","xunit.extensibility.core","2.4.2","2022-08-01T21:44:24.8335789Z","Available","Valid","true","xunit.extensibility.core","xunit.extensibility.core/2.4.2","xunit.extensibility.core","2.4.2","2022-08-01T21:44:24.8335789Z","2022-08-01T21:42:38.65Z","Available","lib\netstandard1.1\xunit.core.dll",".dll","true","true","true","{""version"":""2"",""compiler-version"":""4.2.0-4.22281.5+8d3180e5f00d42f0f0295165f756f368f0cbfa44"",""language"":""C#"",""source-file-count"":""58"",""output-kind"":""DynamicallyLinkedLibrary"",""optimization"":""release"",""platform"":""AnyCpu"",""runtime-version"":""4.8.4515.0"",""language-version"":""10.0"",""define"":""TRACE,XUNIT_FRAMEWORK,NETSTANDARD,RELEASE,NETSTANDARD,NETSTANDARD1_1,NETSTANDARD1_0_OR_GREATER,NETSTANDARD1_1_OR_GREATER""}","Embedded"
